"MovieTitle","MovieReleaseDate","FirstName","LastName","DateOfBirth"
"The Shawshank Redemption","1994-01-01","Frank","Darabont","1991-05-03"
"The Godfather","1972-01-01","Francis","Ford Coppola","1987-05-10"
"The Dark Knight","2008-01-01","Christopher","Nolan","1999-04-12"
"The Godfather Part II","1974-01-01","Francis","Ford Coppola","1987-05-10"
"12 Angry Men","1957-01-01","Sidney","Lumet","1971-09-22"
"Schindler's List","1993-01-01","Steven","Spielberg","1986-08-22"
"The Lord of the Rings: The Return of the King","2003-01-01","Peter","Jackson","1957-02-26"
"Pulp Fiction","1994-01-01","Quentin","Tarantino","1966-07-26"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","Peter","Jackson","1957-02-26"
"Forrest Gump","1994-01-01","Robert","Zemeckis","1981-02-25"
"Inception","2010-01-01","Christopher","Nolan","1999-04-12"
"The Lord of the Rings: The Two Towers","2002-01-01","Peter","Jackson","1957-02-26"
"Fight Club","1999-01-01","David","Fincher","1973-10-20"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","Irvin","Kershner","1986-08-20"
"The Matrix","1999-01-01","Lana","Wachowski","1956-06-17"
"The Matrix","1999-01-01","Lilly","Wachowski","1994-02-17"
"Goodfellas","1990-01-01","Martin","Scorsese","1990-07-21"
"One Flew Over the Cuckoo's Nest","1975-01-01","Milos","Forman","1959-03-12"
"Se7en","1995-01-01","David","Fincher","1973-10-20"
"Interstellar","2014-01-01","Christopher","Nolan","1999-04-12"
"It's a Wonderful Life","1946-01-01","Frank","Capra","1967-05-16"
"The Silence of the Lambs","1991-01-01","Jonathan","Demme","1989-06-15"
"Saving Private Ryan","1998-01-01","Steven","Spielberg","1986-08-22"
"City of God","2002-01-01","Fernando","Meirelles","1975-04-21"
"City of God","2002-01-01","Kátia","Lund","1953-01-15"
"Life Is Beautiful","1997-01-01","Roberto","Benigni","1965-02-20"
"The Green Mile","1999-01-01","Frank","Darabont","1991-05-03"
"Star Wars: Episode IV - A New Hope","1977-01-01","George","Lucas","1987-05-17"
"Terminator 2: Judgment Day","1991-01-01","James","Cameron","1987-04-26"
"Back to the Future","1985-01-01","Robert","Zemeckis","1981-02-25"
"Spirited Away","2001-01-01","Hayao","Miyazaki","1961-02-17"
"The Pianist","2002-01-01","Roman","Polanski","1974-02-17"
"Psycho","1960-01-01","Alfred","Hitchcock","1984-06-11"
"Whiplash","2014-01-01","Damien","Chazelle","1980-10-14"
"The Lion King","1994-01-01","Roger","Allers","1954-02-06"
"The Lion King","1994-01-01","Rob","Minkoff","1987-02-09"
"Gladiator","2000-01-01","Ridley","Scott","1974-08-09"
"American History X","1998-01-01","Tony","Kaye","1952-04-27"
"The Departed","2006-01-01","Martin","Scorsese","1990-07-21"
"The Usual Suspects","1995-01-01","Bryan","Singer","1956-01-20"
"The Prestige","2006-01-01","Christopher","Nolan","1999-04-12"
"Grave of the Fireflies","1988-01-01","Isao","Takahata","1977-09-18"
"Casablanca","1942-01-01","Michael","Curtiz","1964-03-04"
"Harrier","2022-01-01","Ciara","Flint","1971-05-03"
