"MovieTitle","MovieReleaseDate","FirstName","LastName","DateOfBirth"
"The Shawshank Redemption","1994-01-01","Stephen","King","1952-08-18"
"The Shawshank Redemption","1994-01-01","Frank","Darabont","1991-05-03"
"The Godfather","1972-01-01","Mario","Puzo","1966-07-10"
"The Godfather","1972-01-01","Francis","Ford Coppola","1987-05-10"
"The Dark Knight","2008-01-01","Jonathan","Nolan","1955-06-12"
"The Dark Knight","2008-01-01","Christopher","Nolan","1999-04-12"
"The Dark Knight","2008-01-01","David","S. Goyer","1999-10-20"
"The Godfather Part II","1974-01-01","Francis","Ford Coppola","1987-05-10"
"The Godfather Part II","1974-01-01","Mario","Puzo","1966-07-10"
"12 Angry Men","1957-01-01","Reginald","Rose","1997-04-21"
"Schindler's List","1993-01-01","Thomas","Keneally","1973-09-06"
"Schindler's List","1993-01-01","Steven","Zaillian","1981-08-12"
"The Lord of the Rings: The Return of the King","2003-01-01","J.R.R.","Tolkien","1984-01-16"
"The Lord of the Rings: The Return of the King","2003-01-01","Fran","Walsh","1984-05-24"
"The Lord of the Rings: The Return of the King","2003-01-01","Philippa","Boyens","1979-05-02"
"Pulp Fiction","1994-01-01","Quentin","Tarantino","1966-07-26"
"Pulp Fiction","1994-01-01","Roger","Avary","1958-02-12"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","J.R.R.","Tolkien","1984-01-16"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","Fran","Walsh","1984-05-24"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","Philippa","Boyens","1979-05-02"
"Forrest Gump","1994-01-01","Winston","Groom","1952-01-25"
"Forrest Gump","1994-01-01","Eric","Roth","1982-04-25"
"Inception","2010-01-01","Christopher","Nolan","1999-04-12"
"The Lord of the Rings: The Two Towers","2002-01-01","J.R.R.","Tolkien","1984-01-16"
"The Lord of the Rings: The Two Towers","2002-01-01","Fran","Walsh","1984-05-24"
"The Lord of the Rings: The Two Towers","2002-01-01","Philippa","Boyens","1979-05-02"
"Fight Club","1999-01-01","Chuck","Palahniuk","1951-04-01"
"Fight Club","1999-01-01","Jim","Uhls","1982-12-28"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","Leigh","Brackett","1987-10-09"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","Lawrence","Kasdan","1993-06-12"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","George","Lucas","1987-05-17"
"The Matrix","1999-01-01","Lilly","Wachowski","1994-02-17"
"The Matrix","1999-01-01","Lana","Wachowski","1956-06-17"
"Goodfellas","1990-01-01","Nicholas","Pileggi","1954-04-13"
"Goodfellas","1990-01-01","Martin","Scorsese","1990-07-21"
"One Flew Over the Cuckoo's Nest","1975-01-01","Lawrence","Hauben","1994-06-16"
"One Flew Over the Cuckoo's Nest","1975-01-01","Bo","Goldman","1965-10-12"
"One Flew Over the Cuckoo's Nest","1975-01-01","Ken","Kesey","1981-09-27"
"Se7en","1995-01-01","Andrew","Kevin Walker","1996-08-20"
"Interstellar","2014-01-01","Jonathan","Nolan","1955-06-12"
"Interstellar","2014-01-01","Christopher","Nolan","1999-04-12"
"It's a Wonderful Life","1946-01-01","Frances","Goodrich","1953-05-08"
"It's a Wonderful Life","1946-01-01","Albert","Hackett","1992-06-09"
"It's a Wonderful Life","1946-01-01","Frank","Capra","1967-05-16"
"The Silence of the Lambs","1991-01-01","Thomas","Harris","1969-09-25"
"The Silence of the Lambs","1991-01-01","Ted","Tally","1985-06-06"
"Saving Private Ryan","1998-01-01","Robert","Rodat","1960-02-18"
"City of God","2002-01-01","Bráulio","Mantovani","1969-01-20"
"City of God","2002-01-01","Paulo","Lins","1951-10-02"
"Life Is Beautiful","1997-01-01","Vincenzo","Cerami","1969-12-19"
"Life Is Beautiful","1997-01-01","Roberto","Benigni","1965-02-20"
"The Green Mile","1999-01-01","Stephen","King","1952-08-18"
"The Green Mile","1999-01-01","Frank","Darabont","1991-05-03"
"Star Wars: Episode IV - A New Hope","1977-01-01","George","Lucas","1987-05-17"
"Terminator 2: Judgment Day","1991-01-01","James","Cameron","1987-04-26"
"Terminator 2: Judgment Day","1991-01-01","William","Wisher","1977-01-20"
"Back to the Future","1985-01-01","Robert","Zemeckis","1981-02-25"
"Back to the Future","1985-01-01","Bob","Gale","1984-10-14"
"Spirited Away","2001-01-01","Hayao","Miyazaki","1961-02-17"
"The Pianist","2002-01-01","Ronald","Harwood","1964-02-16"
"The Pianist","2002-01-01","Wladyslaw","Szpilman","1980-04-12"
"Psycho","1960-01-01","Joseph","Stefano","1969-06-26"
"Psycho","1960-01-01","Robert","Bloch","1992-02-08"
"Whiplash","2014-01-01","Damien","Chazelle","1980-10-14"
"The Lion King","1994-01-01","Irene","Mecchi","1966-08-14"
"The Lion King","1994-01-01","Jonathan","Roberts","1988-06-08"
"The Lion King","1994-01-01","Linda","Woolverton","1957-02-26"
"Gladiator","2000-01-01","David","Franzoni","1959-10-20"
"Gladiator","2000-01-01","John","Logan","1978-06-12"
"Gladiator","2000-01-01","William","Nicholson","1992-01-26"
"American History X","1998-01-01","David","McKenna","1989-10-12"
"The Departed","2006-01-01","William","Monahan","1957-01-12"
"The Departed","2006-01-01","Alan","Mak","1993-06-09"
"The Departed","2006-01-01","Felix","Chong","1981-04-18"
"The Usual Suspects","1995-01-01","Christopher","McQuarrie","1950-04-11"
"The Prestige","2006-01-01","Jonathan","Nolan","1955-06-12"
"The Prestige","2006-01-01","Christopher","Nolan","1999-04-12"
"The Prestige","2006-01-01","Christopher","Priest","1976-04-08"
"Grave of the Fireflies","1988-01-01","Akiyuki","Nosaka","1964-05-09"
"Grave of the Fireflies","1988-01-01","Isao","Takahata","1977-09-18"
"Casablanca","1942-01-01","Philip","G. Epstein","1973-05-20"
"Casablanca","1942-01-01","Julius","J. Epstein","1998-12-20"
"Casablanca","1942-01-01","Howard","Koch","1984-04-08"
"Modern Times","1936-01-01","Charles","Chaplin","1991-04-20"
"Once Upon a Time in America","1984-01-01","Harry","Grey","1957-02-27"
"Once Upon a Time in America","1984-01-01","Leonardo","Benvenuti","1996-10-26"
"Once Upon a Time in America","1984-01-01","Piero","De Bernardi","1951-06-10"
"Rear Window","1954-01-01","John","Michael Hayes","1960-06-21"
"Rear Window","1954-01-01","Cornell","Woolrich","1990-11-08"
"Alien","1979-01-01","Dan","O'Bannon","1979-10-26"
"Alien","1979-01-01","Ronald","Shusett","1992-02-09"
"City Lights","1931-01-01","Charles","Chaplin","1991-04-20"
"City Lights","1931-01-01","Harry","Carr","1992-02-05"
"City Lights","1931-01-01","Harry","Crocker","1963-02-20"
"Cinema Paradiso","1988-01-01","Giuseppe","Tornatore","1974-09-20"
"Cinema Paradiso","1988-01-01","Vanna","Paoli","1983-04-18"
"Memento","2000-01-01","Christopher","Nolan","1999-04-12"
"Memento","2000-01-01","Jonathan","Nolan","1955-06-12"
"Apocalypse Now","1979-01-01","John","Milius","1958-06-09"
"Apocalypse Now","1979-01-01","Francis","Ford Coppola","1987-05-10"
"Apocalypse Now","1979-01-01","Michael","Herr","1974-03-05"
"Django Unchained","2012-01-01","Quentin","Tarantino","1966-07-26"
"WALL·E","2008-01-01","Andrew","Stanton","1984-08-26"
"WALL·E","2008-01-01","Pete","Docter","1989-02-20"
"WALL·E","2008-01-01","Jim","Reardon","1985-12-26"
"The Lives of Others","2006-01-01","Florian","Henckel von Donnersmarck","1953-11-11"
"Sunset Blvd.","2012-01-01","Ulli","Lommel","1952-02-14"
"Sunset Blvd.","2012-01-01","Franklin","D. Williams","1983-05-01"
"Paths of Glory","1957-01-01","Stanley","Kubrick","1983-08-11"
"Paths of Glory","1957-01-01","Calder","Willingham","1955-09-11"
"Paths of Glory","1957-01-01","Jim","Thompson","1976-12-26"
"The Shining","1980-01-01","Stephen","King","1952-08-18"
"The Shining","1980-01-01","Stanley","Kubrick","1983-08-11"
"The Shining","1980-01-01","Diane","Johnson","1998-06-26"
"The Great Dictator","1940-01-01","Charles","Chaplin","1991-04-20"
"Witness for the Prosecution","1957-01-01","Agatha","Christie","1991-01-11"
"Witness for the Prosecution","1957-01-01","Billy","Wilder","1955-04-20"
"Witness for the Prosecution","1957-01-01","Harry","Kurnitz","1959-02-15"
"Aliens","1986-01-01","James","Cameron","1987-04-26"
"Aliens","1986-01-01","David","Giler","1969-10-20"
"Aliens","1986-01-01","Walter","Hill","1998-05-21"
"American Beauty","1999-01-01","Alan","Ball","1991-06-21"
"The Dark Knight Rises","2012-01-01","Jonathan","Nolan","1955-06-12"
"The Dark Knight Rises","2012-01-01","Christopher","Nolan","1999-04-12"
"The Dark Knight Rises","2012-01-01","David","S. Goyer","1999-10-20"
"Dr. Strangelove","2012-01-01","Keaton","Gover","1957-09-20"
"Dr. Strangelove","2012-01-01","Jack","Snelling","1987-04-18"
"Toy Story 3","2010-01-01","John","Lasseter","1966-06-20"
"Toy Story 3","2010-01-01","Andrew","Stanton","1984-08-26"
"Toy Story 3","2010-01-01","Lee","Unkrich","1984-10-08"
"Princess Mononoke","1997-01-01","Hayao","Miyazaki","1961-02-17"
"Braveheart","1995-01-01","Randall","Wallace","1981-12-05"
"Amélie","2001-01-01","Guillaume","Laurant","1992-09-03"
"Amélie","2001-01-01","Jean-Pierre","Jeunet","1993-08-22"
"Toy Story","1995-01-01","John","Lasseter","1966-06-20"
"Toy Story","1995-01-01","Pete","Docter","1989-02-20"
"Toy Story","1995-01-01","Andrew","Stanton","1984-08-26"
"Reservoir Dogs","1992-01-01","Quentin","Tarantino","1966-07-26"
"Reservoir Dogs","1992-01-01","Roger","Avary","1958-02-12"
"Your Name.","2016-01-01","Makoto","Shinkai","1962-07-07"
"Requiem for a Dream","2000-01-01","Hubert","Selby Jr.","1977-10-21"
"Requiem for a Dream","2000-01-01","Darren","Aronofsky","1992-10-05"
"Das Boot","1981-01-01","Lothar","G. Buchheim","1954-08-19"
"Das Boot","1981-01-01","Wolfgang","Petersen","1991-07-16"
"Star Wars: Episode VI - Return of the Jedi","1983-01-01","Lawrence","Kasdan","1993-06-12"
"Star Wars: Episode VI - Return of the Jedi","1983-01-01","George","Lucas","1987-05-17"
"Oldboy","2003-01-01","Garon","Tsuchiya","1977-01-23"
"Oldboy","2003-01-01","Nobuaki","Minegishi","1970-10-14"
"Oldboy","2003-01-01","Park","Chan-wook","1951-10-23"
"Singin' in the Rain","1952-01-01","Betty","Comden","1950-12-16"
"Singin' in the Rain","1952-01-01","Adolph","Green","1979-10-16"
"Coco","2017-01-01","Lee","Unkrich","1984-10-08"
"Coco","2017-01-01","Jason","Katz","1999-04-15"
"Coco","2017-01-01","Matthew","Aldrich","1957-07-08"
"Bicycle Thieves","1948-01-01","Cesare","Zavattini","1981-01-20"
"Bicycle Thieves","1948-01-01","Luigi","Bartolini","1970-02-20"
"Bicycle Thieves","1948-01-01","Oreste","Biancoli","1959-02-18"
"2001: A Space Odyssey","1968-01-01","Stanley","Kubrick","1983-08-11"
"2001: A Space Odyssey","1968-01-01","Arthur","C. Clarke","1951-12-13"
"The Sixth Sense","1999-01-01","M.","Night Shyamalan","1969-04-12"
"The Kid","1921-01-01","Charles","Chaplin","1991-04-20"
"Inglourious Basterds","2009-01-01","Quentin","Tarantino","1966-07-26"
"The Hunt","2012-01-01","Thomas","Vinterberg","1950-09-22"
"The Hunt","2012-01-01","Tobias","Lindholm","1965-04-22"
"The Intouchables","2011-01-01","Olivier","Nakache","1995-08-10"
"The Intouchables","2011-01-01","Éric","Toledano","1973-04-26"
"The Intouchables","2011-01-01","Philippe","Pozzo di Borgo","1979-05-19"
"Batman Begins","2005-01-01","Bob","Kane","1990-10-16"
"Batman Begins","2005-01-01","David","S. Goyer","1999-10-20"
"Batman Begins","2005-01-01","Christopher","Nolan","1999-04-12"
"A Clockwork Orange","1971-01-01","Stanley","Kubrick","1983-08-11"
"A Clockwork Orange","1971-01-01","Anthony","Burgess","1950-08-07"
"Snatch","2000-01-01","Guy","Ritchie","1953-09-11"
"Amadeus","1984-01-01","Peter","Shaffer","1997-02-20"
"Amadeus","1984-01-01","Zdenek","Mahler","1992-11-20"
"Three Billboards Outside Ebbing, Missouri","2017-01-01","Martin","McDonagh","1970-07-12"
"Eternal Sunshine of the Spotless Mind","2004-01-01","Charlie","Kaufman","1985-04-12"
"Eternal Sunshine of the Spotless Mind","2004-01-01","Michel","Gondry","1953-03-12"
"Eternal Sunshine of the Spotless Mind","2004-01-01","Pierre","Bismuth","1979-06-25"
"The Wolf of Wall Street","2013-01-01","Terence","Winter","1975-06-20"
"The Wolf of Wall Street","2013-01-01","Jordan","Belfort","1956-06-07"
"The Treasure of the Sierra Madre","1948-01-01","John","Huston","1972-06-26"
"The Treasure of the Sierra Madre","1948-01-01","B.","Traven","1968-05-16"
"North by Northwest","1959-01-01","Ernest","Lehman","1954-04-12"
"V for Vendetta","2005-01-01","Lilly","Wachowski","1994-02-17"
"V for Vendetta","2005-01-01","Lana","Wachowski","1956-06-17"
"V for Vendetta","2005-01-01","David","Lloyd","1986-10-26"
"Raiders of the Lost Ark","1981-01-01","Lawrence","Kasdan","1993-06-12"
"Raiders of the Lost Ark","1981-01-01","George","Lucas","1987-05-17"
"Raiders of the Lost Ark","1981-01-01","Philip","Kaufman","1953-05-12"
"The Thing","1982-01-01","Bill","Lancaster","1994-04-20"
"The Thing","1982-01-01","John","W. Campbell Jr.","1962-06-21"
"Scarface","1983-01-01","Oliver","Stone","1978-08-16"
"Scarface","1983-01-01","Howard","Hawks","1955-04-27"
