"MovieTitle","MovieReleaseDate","FirstName","LastName","DateOfBirth"
"The Shawshank Redemption","1994-01-01","Tim","Robbins","1999-10-02"
"The Shawshank Redemption","1994-01-01","Morgan","Freeman","1996-09-12"
"The Shawshank Redemption","1994-01-01","Bob","Gunton","1992-10-26"
"The Godfather","1972-01-01","Marlon","Brando","1997-07-16"
"The Godfather","1972-01-01","Al","Pacino","1957-06-26"
"The Godfather","1972-01-01","James","Caan","1999-04-12"
"The Dark Knight","2008-01-01","Christian","Bale","1987-04-14"
"The Dark Knight","2008-01-01","Heath","Ledger","1967-06-20"
"The Dark Knight","2008-01-01","Aaron","Eckhart","1985-07-07"
"The Godfather Part II","1974-01-01","Al","Pacino","1957-06-26"
"The Godfather Part II","1974-01-01","Robert","De Niro","1963-02-02"
"The Godfather Part II","1974-01-01","Robert","Duvall","1970-02-21"
"12 Angry Men","1957-01-01","Martin","Balsam","1993-07-11"
"12 Angry Men","1957-01-01","John","Fiedler","1980-06-20"
"12 Angry Men","1957-01-01","Lee","J. Cobb","1986-10-01"
"Schindler's List","1993-01-01","Liam","Neeson","1985-02-26"
"Schindler's List","1993-01-01","Ralph","Fiennes","1997-12-21"
"Schindler's List","1993-01-01","Ben","Kingsley","1997-12-27"
"The Lord of the Rings: The Return of the King","2003-01-01","Elijah","Wood","1980-10-16"
"The Lord of the Rings: The Return of the King","2003-01-01","Viggo","Mortensen","1995-12-16"
"The Lord of the Rings: The Return of the King","2003-01-01","Ian","McKellen","1991-03-16"
"Pulp Fiction","1994-01-01","John","Travolta","1976-06-18"
"Pulp Fiction","1994-01-01","Uma","Thurman","1958-03-12"
"Pulp Fiction","1994-01-01","Samuel","L. Jackson","1964-01-26"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","Alan","Howard","1975-06-19"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","Noel","Appleby","1997-10-24"
"The Lord of the Rings: The Fellowship of the Ring","2001-01-01","Sean","Astin","1984-05-20"
"Forrest Gump","1994-01-01","Tom","Hanks","1987-04-27"
"Forrest Gump","1994-01-01","Robin","Wright","1967-02-25"
"Forrest Gump","1994-01-01","Gary","Sinise","1954-01-21"
"Inception","2010-01-01","Leonardo","DiCaprio","1981-10-21"
"Inception","2010-01-01","Joseph","Gordon-Levitt","1993-06-09"
"Inception","2010-01-01","Elliot","Page","1980-10-09"
"The Lord of the Rings: The Two Towers","2002-01-01","Elijah","Wood","1980-10-16"
"The Lord of the Rings: The Two Towers","2002-01-01","Ian","McKellen","1991-03-16"
"The Lord of the Rings: The Two Towers","2002-01-01","Viggo","Mortensen","1995-12-16"
"Fight Club","1999-01-01","Edward","Norton","1971-02-26"
"Fight Club","1999-01-01","Brad","Pitt","1976-01-09"
"Fight Club","1999-01-01","Meat","Loaf","1959-11-04"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","Mark","Hamill","1976-07-21"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","Harrison","Ford","1965-02-19"
"Star Wars: Episode V - The Empire Strikes Back","1980-01-01","Carrie","Fisher","1989-09-20"
"The Matrix","1999-01-01","Keanu","Reeves","1950-09-21"
"The Matrix","1999-01-01","Laurence","Fishburne","1981-06-16"
"The Matrix","1999-01-01","Carrie-Anne","Moss","1979-09-07"
"Goodfellas","1990-01-01","Robert","De Niro","1963-02-02"
"Goodfellas","1990-01-01","Ray","Liotta","1953-12-18"
"Goodfellas","1990-01-01","Joe","Pesci","1968-06-09"
"One Flew Over the Cuckoo's Nest","1975-01-01","Jack","Nicholson","1950-04-26"
"One Flew Over the Cuckoo's Nest","1975-01-01","Louise","Fletcher","1970-08-20"
"One Flew Over the Cuckoo's Nest","1975-01-01","Michael","Berryman","1955-03-12"
"Se7en","1995-01-01","Morgan","Freeman","1996-09-12"
"Se7en","1995-01-01","Brad","Pitt","1976-01-09"
"Se7en","1995-01-01","Kevin","Spacey","1954-09-27"
"Interstellar","2014-01-01","Matthew","McConaughey","1969-07-27"
"Interstellar","2014-01-01","Anne","Hathaway","1991-08-23"
"Interstellar","2014-01-01","Jessica","Chastain","1999-08-20"
"It's a Wonderful Life","1946-01-01","James","Stewart","1974-04-07"
"It's a Wonderful Life","1946-01-01","Donna","Reed","1962-12-06"
"It's a Wonderful Life","1946-01-01","Lionel","Barrymore","1990-02-20"
"The Silence of the Lambs","1991-01-01","Jodie","Foster","1950-06-20"
"The Silence of the Lambs","1991-01-01","Anthony","Hopkins","1951-08-02"
"The Silence of the Lambs","1991-01-01","Scott","Glenn","1957-03-25"
"Saving Private Ryan","1998-01-01","Tom","Hanks","1987-04-27"
"Saving Private Ryan","1998-01-01","Matt","Damon","1983-07-26"
"Saving Private Ryan","1998-01-01","Tom","Sizemore","1982-04-20"
"City of God","2002-01-01","Alexandre","Rodrigues","1996-06-21"
"City of God","2002-01-01","Leandro","Firmino","1965-10-26"
"City of God","2002-01-01","Matheus","Nachtergaele","1978-07-14"
"Life Is Beautiful","1997-01-01","Roberto","Benigni","1965-02-20"
"Life Is Beautiful","1997-01-01","Nicoletta","Braschi","1963-04-14"
"Life Is Beautiful","1997-01-01","Giorgio","Cantarini","1973-09-20"
"The Green Mile","1999-01-01","Tom","Hanks","1987-04-27"
"The Green Mile","1999-01-01","Michael","Clarke Duncan","1950-03-12"
"The Green Mile","1999-01-01","David","Morse","1988-10-21"
"Star Wars: Episode IV - A New Hope","1977-01-01","Mark","Hamill","1976-07-21"
"Star Wars: Episode IV - A New Hope","1977-01-01","Harrison","Ford","1965-02-19"
"Star Wars: Episode IV - A New Hope","1977-01-01","Carrie","Fisher","1989-09-20"
"Terminator 2: Judgment Day","1991-01-01","Arnold","Schwarzenegger","1961-12-20"
"Terminator 2: Judgment Day","1991-01-01","Linda","Hamilton","1998-02-26"
"Terminator 2: Judgment Day","1991-01-01","Edward","Furlong","1964-02-18"
"Back to the Future","1985-01-01","Michael","J. Fox","1976-03-08"
"Back to the Future","1985-01-01","Christopher","Lloyd","1961-04-26"
"Back to the Future","1985-01-01","Lea","Thompson","1962-10-26"
"Spirited Away","2001-01-01","Rumi","Hiiragi","1996-08-13"
"Spirited Away","2001-01-01","Miyu","Irino","1965-03-26"
"Spirited Away","2001-01-01","Mari","Natsuki","1960-07-17"
"The Pianist","2002-01-01","Adrien","Brody","1989-10-26"
"The Pianist","2002-01-01","Emilia","Fox","1976-11-08"
